iter	Logloss
0	0.6268933099
1	0.5761789601
2	0.5445201571
3	0.5134900629
4	0.4956894152
5	0.4784653885
6	0.4643026932
7	0.4519893791
8	0.4415903418
9	0.4341755349
10	0.4289365438
11	0.425505303
12	0.4204390449
13	0.4155188763
14	0.4118498154
15	0.4095474042
16	0.4062918309
17	0.404441493
18	0.4029007443
19	0.4014228479
20	0.3996330469
21	0.398216526
22	0.3976378219
23	0.3964315935
24	0.3947841187
25	0.3937294764
26	0.3924387796
27	0.3914017059
28	0.3908599364
29	0.3894638857
30	0.388304985
31	0.3880522485
32	0.3879726562
33	0.3870379308
34	0.3858750819
35	0.3852631918
36	0.384213943
37	0.384101445
38	0.3839666262
39	0.383838645
40	0.3837417166
41	0.3835527261
42	0.3827367908
43	0.3820791323
44	0.381967115
45	0.3818553228
46	0.3814215068
47	0.3810124027
48	0.3805886184
49	0.3795473969
50	0.3794474793
51	0.3790285176
52	0.3782940821
53	0.3778805865
54	0.3778745666
55	0.3778745573
56	0.3777913551
57	0.3771916884
58	0.3768936269
59	0.3766267332
60	0.3762488144
61	0.3761597742
62	0.3755516384
63	0.3750785326
64	0.3734245448
65	0.3733924988
66	0.3731347026
67	0.3730871438
68	0.372048582
69	0.3720461334
70	0.3715622194
71	0.3711732738
72	0.370886564
73	0.3708575032
74	0.3708561627
75	0.3705750002
76	0.3704838266
77	0.3700173967
78	0.3697205643
79	0.3687404111
80	0.3687351266
81	0.3682855943
82	0.3672550877
83	0.3660731426
84	0.3654345085
85	0.3642781224
86	0.3637122871
87	0.3631538942
88	0.3630861525
89	0.3623200102
90	0.3618350983
91	0.3615201467
92	0.3611178428
93	0.3597961208
94	0.3594381692
95	0.3591422048
96	0.3583022675
97	0.3572429016
98	0.3568485964
99	0.3560479537
100	0.3552112924
101	0.3544373663
102	0.3534267396
103	0.3527651303
104	0.3523905018
105	0.3514319765
106	0.3512811934
107	0.3505251978
108	0.3504024176
109	0.3501153835
110	0.3486940475
111	0.3481324118
112	0.3475486376
113	0.3467863805
114	0.3465529922
115	0.3456588028
116	0.3446430377
117	0.3441941259
118	0.3434069805
119	0.3429962817
120	0.3429534397
121	0.3425969314
122	0.3421538605
123	0.3419286478
124	0.3415137958
125	0.3414254515
126	0.3405266312
127	0.3402176683
128	0.3400742755
129	0.3395756675
130	0.3391755073
131	0.3389455521
132	0.338602439
133	0.338183147
134	0.3374978477
135	0.33730304
136	0.3364103516
137	0.3359196947
138	0.3357891935
139	0.335182424
140	0.3349575026
141	0.3346012286
142	0.3345100793
143	0.3335290033
144	0.332904437
145	0.332702817
146	0.3324692182
147	0.3321411151
148	0.3318246955
149	0.3317033161
150	0.3314273237
151	0.3308766744
152	0.329939257
153	0.3288531261
154	0.3281297859
155	0.3277672133
156	0.327374298
157	0.3272656701
158	0.3270070698
159	0.326566902
160	0.3261437449
161	0.3259699012
162	0.3259276612
163	0.3255406755
164	0.3252628901
165	0.325162269
166	0.3245396496
167	0.3243855339
168	0.3238093493
169	0.3234278594
170	0.3231984251
171	0.3229139176
172	0.3222477815
173	0.3216392175
174	0.3214208582
175	0.3214166214
176	0.3204916266
177	0.3198797831
178	0.3198757765
179	0.3194059325
180	0.3188901873
181	0.3188149694
182	0.3180045424
183	0.3177412162
184	0.3168193909
185	0.3166432081
186	0.3156775383
187	0.3155491809
188	0.3152592403
189	0.314955398
190	0.3149036483
191	0.3147418281
192	0.3146123044
193	0.3144055779
194	0.3143582637
195	0.3137703625
196	0.3130046825
197	0.3128700537
198	0.3125376376
199	0.3118755837
200	0.3113640484
201	0.3111922441
202	0.3108560964
203	0.3100953946
204	0.3099160115
205	0.3094068968
206	0.3088739948
207	0.3086950035
208	0.3081109333
209	0.307355671
210	0.3071929513
211	0.3068867175
212	0.3064132149
213	0.3059670916
214	0.3059090855
215	0.3056889672
216	0.305151756
217	0.3044538543
218	0.3044249387
219	0.3043011768
220	0.3037772864
221	0.3032942439
222	0.303066528
223	0.3026970061
224	0.3023699007
225	0.3021590394
226	0.3020238138
227	0.3018100703
228	0.3013784844
229	0.3008738652
230	0.3008336416
231	0.3007078232
232	0.300245444
233	0.3000095115
234	0.2998904926
235	0.2996482541
236	0.2996274655
237	0.2993759186
238	0.2990429873
239	0.2988738783
240	0.2985349749
241	0.2983896115
242	0.298361758
243	0.2980824098
244	0.2980037948
245	0.2977602258
246	0.2975494897
247	0.2971698267
248	0.2970086859
249	0.2965130906
250	0.2962300858
251	0.2954473609
252	0.2950518731
253	0.294670387
254	0.2944338004
255	0.2942926267
256	0.2937565516
257	0.2936820675
258	0.2933317119
259	0.2930834718
260	0.292754144
261	0.2922758629
262	0.2920127548
263	0.2914620764
264	0.2910612965
265	0.2906719523
266	0.2905482627
267	0.2905418798
268	0.2897516912
269	0.2892057258
270	0.2888339459
271	0.2885980929
272	0.2882475308
273	0.288216543
274	0.2881874312
275	0.2876972736
276	0.2871444501
277	0.2869009825
278	0.2866002853
279	0.2863431339
280	0.2862273676
281	0.2857486832
282	0.2855202143
283	0.2850903789
284	0.2849601521
285	0.284615565
286	0.2844277304
287	0.284139612
288	0.2838823617
289	0.2837535476
290	0.2835226876
291	0.2833039902
292	0.2831935747
293	0.2826901861
294	0.2820950453
295	0.2820421665
296	0.2816894513
297	0.2808068997
298	0.2800296776
299	0.2798315033
300	0.2796833138
301	0.2793975196
302	0.2789167982
303	0.2780779383
304	0.2774993726
305	0.277192657
306	0.2765497509
307	0.2759829165
308	0.2752830662
309	0.2751029177
310	0.2745574407
311	0.2742536665
312	0.2740102437
313	0.2735162344
314	0.2734064394
315	0.2730435559
316	0.2728643055
317	0.272319159
318	0.2721584724
319	0.2720368555
320	0.271314604
321	0.2712414429
322	0.2708098412
323	0.270701761
324	0.2705604866
325	0.2703727415
326	0.2695977997
327	0.2693050853
328	0.2688924251
329	0.2685223405
330	0.268326313
331	0.2678946528
332	0.2677146485
333	0.2675538819
334	0.2673922302
335	0.267184931
336	0.2669687998
337	0.2669225485
338	0.266737994
339	0.2663685725
340	0.266274149
341	0.2661535977
342	0.2656002581
343	0.2654333897
344	0.2651758125
345	0.2649643489
346	0.2648411127
347	0.2644567671
348	0.2642746368
349	0.2640079321
350	0.2634881917
351	0.2634332464
352	0.2632866219
353	0.2631398733
354	0.262906539
355	0.2628479838
356	0.2627408137
357	0.2625844428
358	0.2623450425
359	0.2621602198
360	0.2619666215
361	0.2617412322
362	0.2612279229
363	0.260596121
364	0.2600255606
365	0.2594951845
366	0.2592141987
367	0.2589753147
368	0.2587065539
369	0.2579422675
370	0.2575250613
371	0.2572038794
372	0.2569104922
373	0.2566525723
374	0.2564552399
375	0.2562695792
376	0.2561906539
377	0.2560282765
378	0.2557022895
379	0.2553997676
380	0.2549766147
381	0.2548052039
382	0.2546241389
383	0.2542383824
384	0.2539998574
385	0.2537172952
386	0.2536413082
387	0.2535368595
388	0.2532799675
389	0.2530498628
390	0.2529355657
391	0.2526383578
392	0.2522507932
393	0.2516945789
394	0.2514797523
395	0.2511471141
396	0.2508597846
397	0.2506950922
398	0.250440396
399	0.2502288579
400	0.2498976328
401	0.2494581541
402	0.2492981189
403	0.2488882112
404	0.2487636908
405	0.2483636781
406	0.2482540115
407	0.2478507894
408	0.2477224031
409	0.2475048956
410	0.2467657116
411	0.2463257115
412	0.246085319
413	0.2459228424
414	0.2453234346
415	0.2450135857
416	0.2447216053
417	0.2442539289
418	0.2439939848
419	0.2434111708
420	0.2431219073
421	0.242740122
422	0.2425359757
423	0.2423107359
424	0.2422639641
425	0.2418449089
426	0.2414495455
427	0.241039172
428	0.2408989204
429	0.2402836525
430	0.240163348
431	0.2399057516
432	0.2396786043
433	0.2392893238
434	0.239195455
435	0.2388908783
436	0.2385553857
437	0.2383461745
438	0.2382075345
439	0.2381314736
440	0.238012681
441	0.2377717213
442	0.2374468586
443	0.2368175343
444	0.2366014201
445	0.2362322152
446	0.2359326657
447	0.2358243463
448	0.2356935538
449	0.2352881161
450	0.2351233702
451	0.2349270799
452	0.2344069033
453	0.2342716808
454	0.234072506
455	0.2336981986
456	0.2330144719
457	0.2328354299
458	0.2327199321
459	0.2324470795
460	0.2322364707
461	0.2321190711
462	0.2318912028
463	0.2316976624
464	0.2313517261
465	0.231224139
466	0.2311113823
467	0.2306198493
468	0.2302291905
469	0.2299906959
470	0.2298933072
471	0.2298107159
472	0.2296522484
473	0.2293386217
474	0.2289561992
475	0.2287081633
476	0.2284824422
477	0.228106073
478	0.2277117449
479	0.2275484709
480	0.2271196247
481	0.2265363689
482	0.2263920514
483	0.2259654454
484	0.225756776
485	0.2255578725
486	0.2254239535
487	0.2252867491
488	0.2249617757
489	0.224601639
490	0.2242581365
491	0.2239363946
492	0.2236546584
493	0.2233430241
494	0.2231598345
495	0.2230640697
496	0.2228417299
497	0.2226824482
498	0.2221529456
499	0.2218796964
500	0.2217159969
501	0.2215074915
502	0.2213707108
503	0.221084221
504	0.220974906
505	0.2207317517
506	0.220659787
507	0.2205927876
508	0.2204502798
509	0.220245733
510	0.2198276395
511	0.2196140462
512	0.2195826495
513	0.2195038282
514	0.2193324129
515	0.2191620664
516	0.218715833
517	0.2186180026
518	0.2183918444
519	0.2177783895
520	0.2175470333
521	0.2170666998
522	0.2166704858
523	0.216625745
524	0.216562025
525	0.2162331399
526	0.2160811994
527	0.2158653154
528	0.2157549264
529	0.2153452484
530	0.2151905145
531	0.2149519406
532	0.2147606173
533	0.2145304501
534	0.2144979011
535	0.214238629
536	0.213808998
537	0.2136573853
538	0.2133625058
539	0.2130624856
540	0.212924789
541	0.2124983066
542	0.2121296713
543	0.2119144437
544	0.2117994744
545	0.2114726318
546	0.2111486359
547	0.2111343159
548	0.2109493421
549	0.2106908892
550	0.2105143035
551	0.2101238814
552	0.2098660776
553	0.2096730059
554	0.2095547162
555	0.2093995475
556	0.2093104651
557	0.209248459
558	0.2091943953
559	0.2091040837
560	0.2089518287
561	0.2088889651
562	0.2086674466
563	0.2080518839
564	0.2078430443
565	0.2077545189
566	0.2074423208
567	0.2070930134
568	0.207064823
569	0.206648403
570	0.206570263
571	0.2064708195
572	0.2063198335
573	0.2056067717
574	0.2054351663
575	0.205329223
576	0.2047946257
577	0.2046530476
578	0.2042414028
579	0.2040189273
580	0.2037698283
581	0.2035766628
582	0.2034913398
583	0.2033171019
584	0.2032314985
585	0.2028261155
586	0.2026392964
587	0.2024454217
588	0.2022204679
589	0.2020474514
590	0.2016894513
591	0.2015657363
592	0.2011596382
593	0.2008781276
594	0.2001189603
595	0.199731959
596	0.19967732
597	0.1992457296
598	0.19905137
599	0.1987910064
600	0.1986437853
601	0.1984758229
602	0.1984006736
603	0.1980403268
604	0.1978253342
605	0.1975191392
606	0.1973993743
607	0.197307384
608	0.1968523874
609	0.1967268547
610	0.1964253305
611	0.1962226401
612	0.1959255103
613	0.1956800338
614	0.1953513753
615	0.1951731083
616	0.1948569317
617	0.1947181774
618	0.1945681596
619	0.194305061
620	0.1942354425
621	0.1941139792
622	0.1940868953
623	0.1940054655
624	0.1938393355
625	0.1936750225
626	0.1933281005
627	0.1930019505
628	0.1928795098
629	0.1926956423
630	0.192458539
631	0.1921277038
632	0.1919517951
633	0.1916793475
634	0.1914382758
635	0.191212056
636	0.1907137334
637	0.1905660835
638	0.1904673167
639	0.1902143347
640	0.1899680653
641	0.1897824705
642	0.1897275771
643	0.1895410373
644	0.1892888727
645	0.1891310463
646	0.1888016126
647	0.1885854781
648	0.1884524689
649	0.1880866763
650	0.1879001042
651	0.1876826245
652	0.1873701456
653	0.1873047659
654	0.1868907389
655	0.1866169975
656	0.1865120291
657	0.1863075698
658	0.1860205751
659	0.1858081393
660	0.1855524847
661	0.1854324297
662	0.1852327529
663	0.1851326337
664	0.1850364854
665	0.1847598227
666	0.1845521903
667	0.1842765309
668	0.1840951267
669	0.1838693696
670	0.1837393289
671	0.1836824121
672	0.1834911777
673	0.1832534994
674	0.1831118874
675	0.1829435419
676	0.1828784566
677	0.1826433666
678	0.1825147603
679	0.1823005244
680	0.1820851054
681	0.1819330629
682	0.1818384899
683	0.1816195565
684	0.1811085012
685	0.1807017984
686	0.1804898104
687	0.1804413686
688	0.1803580822
